citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19
Hamilton, New Zealand	366.3729739084215	224.016877909026	7.575000000000008	0.31479711279206724	8	478.9187406145966	193.68131324854068	201.3769425067511	188.0343780396175	883.7327187358626	457.24027919127286	224.8037594040629	303.19565952666784													7.533333333333342	7.766666666666675	7.400000000000009	7.066666666666677	8.000000000000007	7.933333333333341	7.20000000000001	7.700000000000008													California	New South Wales	Victoria	Victoria	Aargau	Aargau	California	Victoria													United States	Australia	Australia	Australia	Switzerland	Switzerland	United States	Australia												
Port Pirie, South Australia, Australia	358.10517336925767	324.7390487183806	6.0111111111111235	1.9240838769222306	12	717.9694359776992	1250.9642753643968	482.7319914045642	242.64531574932562	266.03475854223916	115.48105332377833	433.9532188176077	229.70371946251677	76.10953961404248	40.21243292188261	189.12585437947837	252.33048487355984									5.500000000000016	6.100000000000014	4.733333333333352	5.966666666666681	7.9000000000000075	0.3666666666666921	7.733333333333341	7.066666666666677	6.833333333333345	6.566666666666679	7.4333333333333425	5.933333333333348									Ontario	Victoria	California	California	California	New South Wales	California	Victoria	Victoria	Victoria	North Carolina	Aargau									Canada	Australia	United States	United States	United States	Australia	United States	Australia	Australia	Australia	United States	Switzerland								
Griffith, New South Wales, Australia	351.05665120033746	86.31236158999187	6.7500000000000115	0.4166666666666652	2	437.36901279032935	264.7442896103456																			7.166666666666677	6.333333333333346																			Victoria	Victoria																			Australia	Australia																		
Sibolga, Indonesia	347.8921980832447	0	7.1333333333333435	0	1	347.8921980832447																				7.1333333333333435																				New York																				United States																			
Salatiga, Indonesia	345.0084250598639	0	7.9000000000000075	0	1	345.0084250598639																				7.9000000000000075																				Île-de-France																				France																			
Wagga Wagga, New South Wales, Australia	342.56846160389676	158.7165601396282	7.50000000000001	0.8087484615590125	3	173.1278700387044	299.79823169394365	554.7792830790422																		8.200000000000006	6.36666666666668	7.933333333333341																		New South Wales	England	Aargau																		Australia	United Kingdom	Switzerland																	
George Town, Malaysia	341.30961422363316	82.36516467337438	7.350000000000009	0.7833333333333306	2	423.6747788970075	258.94444955025875																			6.566666666666679	8.13333333333334																			Île-de-France	New South Wales																			France	Australia																		
Kempsey, New South Wales, Australia	337.82208620620344	70.3358036418939	7.350000000000009	1.0499999999999963	2	267.48628256430953	408.15788984809734																			6.300000000000013	8.400000000000006																			North Carolina	Aargau																			United States	Switzerland																		
Kota Kinabalu, Malaysia	336.35138619438067	123.04731694171616	7.866666666666674	0.09999999999999964	2	459.3987031360968	213.30406925266448																			7.766666666666675	7.966666666666674																			Aargau	Aargau																			Switzerland	Switzerland																		
Gawler, South Australia, Australia	332.30977345224295	95.3983328712961	7.405555555555566	0.6372442600083404	6	285.50122750139326	275.09893549479796	329.5813211703837	234.4341787717253	531.1058938900148	338.13708388514283															6.133333333333347	7.4333333333333425	8.03333333333334	7.166666666666677	7.833333333333341	7.833333333333341															Victoria	Victoria	Aargau	Victoria	Aargau	North Carolina															Australia	Australia	Switzerland	Australia	Switzerland	United States														
Kuala Terengganu, Malaysia	313.39469805285245	0	6.100000000000014	0	1	313.39469805285245																				6.100000000000014																				North Carolina																				United States																			
Kediri, Jawa Timur, Indonesia	312.7853802988858	249.60165218444521	7.700000000000008	0.8999999999999968	2	562.387032483331	63.18372811444061																			6.800000000000011	8.600000000000005																			Stockholm	California																			Sweden	United States																		
Kotabumi, Indonesia	309.5131548601141	136.04150373060313	7.833333333333341	0.5333333333333314	2	445.5546585907172	173.47165112951097																			7.30000000000001	8.366666666666672																			Ontario	Île-de-France																			Canada	France																		
